TableName,Region,IncomeGroup
Latvia,Europe & Central Asia,High income
"Macao SAR, China",East Asia & Pacific,High income
St. Martin (French part),Latin America & Caribbean,High income
Morocco,Middle East & North Africa,Lower middle income
Monaco,Europe & Central Asia,High income
Moldova,Europe & Central Asia,Lower middle income
Madagascar,Sub-Saharan Africa,Low income
Maldives,South Asia,Upper middle income
Middle East & North Africa,,
Mexico,Latin America & Caribbean,Upper middle income
Marshall Islands,East Asia & Pacific,Upper middle income
Middle income,,
North Macedonia,Europe & Central Asia,Upper middle income
Mali,Sub-Saharan Africa,Low income
Malta,Middle East & North Africa,High income
Myanmar,East Asia & Pacific,Lower middle income
Middle East & North Africa (excluding high income),,
Montenegro,Europe & Central Asia,Upper middle income
Mongolia,East Asia & Pacific,Lower middle income
Northern Mariana Islands,East Asia & Pacific,High income
Mozambique,Sub-Saharan Africa,Low income
Mauritania,Sub-Saharan Africa,Lower middle income
Mauritius,Sub-Saharan Africa,High income
Malawi,Sub-Saharan Africa,Low income
Malaysia,East Asia & Pacific,Upper middle income
North America,,
Namibia,Sub-Saharan Africa,Upper middle income
New Caledonia,East Asia & Pacific,High income
Niger,Sub-Saharan Africa,Low income
Nigeria,Sub-Saharan Africa,Lower middle income
Nicaragua,Latin America & Caribbean,Lower middle income
Netherlands,Europe & Central Asia,High income
Norway,Europe & Central Asia,High income
Nepal,South Asia,Lower middle income
Nauru,East Asia & Pacific,High income
NewZealand,East Asia & Pacific,High income
OECD members,,
Oman,Middle East & North Africa,High income
Other small states,,
Pakistan,South Asia,Lower middle income
Panama,Latin America & Caribbean,High income
Peru,Latin America & Caribbean,Upper middle income
Philippines,East Asia & Pacific,Lower middle income
Palau,East Asia & Pacific,High income
PapuaNewGuinea,East Asia & Pacific,Lower middle income
Poland,Europe & Central Asia,High income
Pre-demographic dividend,,
Puerto Rico,Latin America & Caribbean,High income
RepublicofKorea,East Asia & Pacific,Low income
Portugal,Europe & Central Asia,High income
Paraguay,Latin America & Caribbean,Upper middle income
West Bank and Gaza,Middle East & North Africa,Lower middle income
Pacific island small states,,
Post-demographic dividend,,
FrenchPolynesia,East Asia & Pacific,High income
Qatar,Middle East & North Africa,High income
Romania,Europe & Central Asia,High income
RussianFederation,Europe & Central Asia,Upper middle income
Rwanda,Sub-Saharan Africa,Low income
South Asia,,
SaudiArabia,Middle East & North Africa,High income
Sudan,Sub-Saharan Africa,Low income
Senegal,Sub-Saharan Africa,Lower middle income
Singapore,East Asia & Pacific,High income
SolomonIslands,East Asia & Pacific,Lower middle income
SierraLeone,Sub-Saharan Africa,Low income
ElSalvador,Latin America & Caribbean,Lower middle income
San Marino,Europe & Central Asia,High income
Somalia,Sub-Saharan Africa,Low income
Serbia,Europe & Central Asia,Upper middle income
Sub-Saharan Africa (excluding high income),,
SouthSudan,Sub-Saharan Africa,Low income
Sub-Saharan Africa,,
Small states,,
SaoTomeandPrincipe,Sub-Saharan Africa,Lower middle income
Suriname,Latin America & Caribbean,Upper middle income
Slovak Republic,Europe & Central Asia,High income
Slovenia,Europe & Central Asia,High income
Sweden,Europe & Central Asia,High income
Eswatini,Sub-Saharan Africa,Lower middle income
SintMaarten,Latin America & Caribbean,High income
Seychelles,Sub-Saharan Africa,High income
SyrianArabRepublic,Middle East & North Africa,Low income
TurksandCaicosIslands,Latin America & Caribbean,High income
Chad,Sub-Saharan Africa,Low income
East Asia & Pacific (IDA & IBRD),,
Europe & Central Asia (IDA & IBRD),,
Togo,Sub-Saharan Africa,Low income
Thailand,East Asia & Pacific,Upper middle income
Tajikistan,Europe & Central Asia,Low income
Turkmenistan,Europe & Central Asia,Upper middle income
Latin America & Caribbean (IDA & IBRD),,
Timor-Leste,East Asia & Pacific,Lower middle income
Middle East & North Africa (IDA & IBRD),,
Tonga,East Asia & Pacific,Upper middle income
South Asia (IDA & IBRD),,
Sub-Saharan Africa (IDA & IBRD),,
TrinidadandTobago,Latin America & Caribbean,High income
Tunisia,Middle East & North Africa,Lower middle income
Turkey,Europe & Central Asia,Upper middle income
Tuvalu,East Asia & Pacific,Upper middle income
UnitedRepublicofTanzania,Sub-Saharan Africa,Lower middle income
Uganda,Sub-Saharan Africa,Low income
Ukraine,Europe & Central Asia,Lower middle income
Upper middle income,,
Uruguay,Latin America & Caribbean,High income
UnitedStatesofAmerica,North America,High income
Uzbekistan,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
Venezuela(BolivarianRepublicof),Latin America & Caribbean,Upper middle income
British Virgin Islands,Latin America & Caribbean,High income
VirginIslands,Latin America & Caribbean,High income
Vietnam,East Asia & Pacific,Lower middle income
Vanuatu,East Asia & Pacific,Lower middle income
World,,
Samoa,East Asia & Pacific,Upper middle income
Kosovo,Europe & Central Asia,Upper middle income
Yemen,Middle East & North Africa,Low income
SouthAfrica,Sub-Saharan Africa,Upper middle income
Zambia,Sub-Saharan Africa,Lower middle income
Zimbabwe,Sub-Saharan Africa,Lower middle income
